property_number,pm_combine
R013,R065
R017A,R065
R030,R065
R047,R065
R065,R065
R088,R065
R115,R065
R118,R065
R129,R065
M010,M010
M062,M010
Q001,Q001
Q001A,Q001
Q356,Q001
B073,B073
B040,B073
Q162,Q162
Q162E,Q162
Q162H,Q162
Q162J,Q162
Q162J01,Q162
Q163,Q162
Q164,Q162
Q050,Q162
M071,M071
M072,M071
M140,M071
M048,M071
Q020,Q020
B047,Q020
B047A,Q020
X010,X010
X010C,X010
Q012,Q012
Q012B,Q012
Q300A,Q300A
Q300A1,Q300A
Q448,Q448
Q210,Q448
X090,X091
X091,X091
X004,X004
X004A,X004
M141,M159
M159,M159
X271,X271
X271A,X271
X252,X252
X252A,X252
X252B,X252
X266,X266
X266A,X266
X179,X179
X179A,X179
B178,B178
B179,B178
B180,B178
M226,M226
M227,M226
B223DB,B223DK
B223DC,B223DK
B223DH,B223DK
B223DI,B223DK
B223DK,B223DK
Q100,Q100
Q100A,Q100
X272,X272
X272A,X272
X164,X164
X164A,X164
M203D,M203E
M203E,M203E
R163,R163
R112,R163